# Rohdump RP25e Telemetrie | Modus: callback | 954 von 954 Nachrichten
# lfd | t_s | n | Codepoints | Hex(Latin1) | Hex(UTF8) | ASCII

     1   1.1919   2  [68 2]  L1: 44 02  U8: 44 02  |D.|
     2   1.1974   2  [78 2]  L1: 4E 02  U8: 4E 02  |N.|
     3   1.2008   2  [78 2]  L1: 4E 02  U8: 4E 02  |N.|
     4   1.2041   2  [83 2]  L1: 53 02  U8: 53 02  |S.|
     5   1.2094   2  [3 1]  L1: 03 01  U8: 03 01  |..|
     6   1.2156   2  [64 2]  L1: 40 02  U8: 40 02  |@.|
     7   1.2184   2  [68 2]  L1: 44 02  U8: 44 02  |D.|
     8   1.2210   0  []  L1: 00  U8: 00  ||
     9   1.2238   0  []  L1: 00  U8: 00  ||
    10   1.2266   0  []  L1: 00  U8: 00  ||
    11   1.2294   2  [1 2]  L1: 01 02  U8: 01 02  |..|
    12   1.2321   2  [68 2]  L1: 44 02  U8: 44 02  |D.|
    13   1.2349   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
    14   1.3070   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
    15   1.3099   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
    16   1.3127   2  [64 2]  L1: 40 02  U8: 40 02  |@.|
    17   1.3155   2  [1 2]  L1: 01 02  U8: 01 02  |..|
    18   1.3184   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
    19   1.3217   2  [1 2]  L1: 01 02  U8: 01 02  |..|
    20   1.3249   2  [8 2]  L1: 08 02  U8: 08 02  |..|
    21   1.3283   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
    22   1.3317   2  [64 2]  L1: 40 02  U8: 40 02  |@.|
    23   1.3638   2  [64 2]  L1: 40 02  U8: 40 02  |@.|
    24   1.3678   2  [64 2]  L1: 40 02  U8: 40 02  |@.|
    25   1.3712   2  [68 2]  L1: 44 02  U8: 44 02  |D.|
    26   1.3741   2  [68 2]  L1: 44 02  U8: 44 02  |D.|
    27   1.3887   2  [64 2]  L1: 40 02  U8: 40 02  |@.|
    28   1.4290   2  [64 2]  L1: 40 02  U8: 40 02  |@.|
    29   1.4322   0  []  L1: 00  U8: 00  ||
    30   1.4518   0  []  L1: 00  U8: 00  ||
    31   1.4972   0  []  L1: 00  U8: 00  ||
    32   1.5031   0  []  L1: 00  U8: 00  ||
    33   1.5143   0  []  L1: 00  U8: 00  ||
    34   1.5576   2  [2 2]  L1: 02 02  U8: 02 02  |..|
    35   1.5610   2  [2 2]  L1: 02 02  U8: 02 02  |..|
    36   1.5815   2  [2 2]  L1: 02 02  U8: 02 02  |..|
    37   1.6011   0  []  L1: 00  U8: 00  ||
    38   1.6057   2  [68 2]  L1: 44 02  U8: 44 02  |D.|
    39   1.6378   2  [68 2]  L1: 44 02  U8: 44 02  |D.|
    40   1.6643   2  [68 2]  L1: 44 02  U8: 44 02  |D.|
    41   1.6829   2  [68 2]  L1: 44 02  U8: 44 02  |D.|
    42   1.6871   2  [2 2]  L1: 02 02  U8: 02 02  |..|
    43   1.6999   2  [2 2]  L1: 02 02  U8: 02 02  |..|
    44   1.7637   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
    45   1.7674   2  [99 2]  L1: 63 02  U8: 63 02  |c.|
    46   1.7846   2  [99 2]  L1: 63 02  U8: 63 02  |c.|
    47   1.8114   2  [99 2]  L1: 63 02  U8: 63 02  |c.|
    48   1.8358   2  [100 2]  L1: 64 02  U8: 64 02  |d.|
    49   1.8421   2  [100 2]  L1: 64 02  U8: 64 02  |d.|
    50   1.8626   2  [3 1]  L1: 03 01  U8: 03 01  |..|
    51   1.8778   2  [3 1]  L1: 03 01  U8: 03 01  |..|
    52   1.9095   2  [3 1]  L1: 03 01  U8: 03 01  |..|
    53   1.9138   2  [3 1]  L1: 03 01  U8: 03 01  |..|
    54   1.9357   2  [3 1]  L1: 03 01  U8: 03 01  |..|
    55   1.9746   0  []  L1: 00  U8: 00  ||
    56   1.9791   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
    57   1.9835   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
    58   2.0091   2  [34 5]  L1: 22 05  U8: 22 05  |".|
    59   2.0725   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
    60   2.0783   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
    61   2.0986   2  [38 5]  L1: 26 05  U8: 26 05  |&.|
    62   2.1682   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
    63   2.1716   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
    64   2.1765   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
    65   2.1826   2  [77 2]  L1: 4D 02  U8: 4D 02  |M.|
    66   2.2211   2  [2 2]  L1: 02 02  U8: 02 02  |..|
    67   2.2246   2  [2 2]  L1: 02 02  U8: 02 02  |..|
    68   2.2306   2  [2 2]  L1: 02 02  U8: 02 02  |..|
    69   2.2533   2  [2 2]  L1: 02 02  U8: 02 02  |..|
    70   2.2701   2  [3 1]  L1: 03 01  U8: 03 01  |..|
    71   2.2947   2  [2 2]  L1: 02 02  U8: 02 02  |..|
    72   2.3124   2  [65 2]  L1: 41 02  U8: 41 02  |A.|
    73   2.3290   2  [83 2]  L1: 53 02  U8: 53 02  |S.|
    74   2.3591   2  [83 2]  L1: 53 02  U8: 53 02  |S.|
    75   2.3693   2  [33 5]  L1: 21 05  U8: 21 05  |!.|
    76   2.3813   2  [20 1]  L1: 14 01  U8: 14 01  |..|
    77   2.3938   2  [64 2]  L1: 40 02  U8: 40 02  |@.|
    78   2.4345   2  [2 2]  L1: 02 02  U8: 02 02  |..|
    79   2.4589   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
    80   2.4803   2  [2 2]  L1: 02 02  U8: 02 02  |..|
    81   2.4836   2  [64 2]  L1: 40 02  U8: 40 02  |@.|
    82   2.5075   2  [64 2]  L1: 40 02  U8: 40 02  |@.|
    83   2.5111   2  [86 2]  L1: 56 02  U8: 56 02  |V.|
    84   2.5316   2  [86 2]  L1: 56 02  U8: 56 02  |V.|
    85   2.5474   2  [2 2]  L1: 02 02  U8: 02 02  |..|
    86   2.5737   2  [2 2]  L1: 02 02  U8: 02 02  |..|
    87   2.6167   2  [64 2]  L1: 40 02  U8: 40 02  |@.|
    88   2.6331   2  [64 2]  L1: 40 02  U8: 40 02  |@.|
    89   2.6365   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
    90   2.6561   2  [20 1]  L1: 14 01  U8: 14 01  |..|
    91   2.7054   2  [20 1]  L1: 14 01  U8: 14 01  |..|
    92   2.7094   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
    93   2.7264   2  [64 2]  L1: 40 02  U8: 40 02  |@.|
    94   2.7756   0  []  L1: 00  U8: 00  ||
    95   2.8329   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
    96   2.8381   2  [3 1]  L1: 03 01  U8: 03 01  |..|
    97   2.8437   2  [20 1]  L1: 14 01  U8: 14 01  |..|
    98   2.8915   2  [86 2]  L1: 56 02  U8: 56 02  |V.|
    99   2.9029   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
   100   2.9099   2  [20 1]  L1: 14 01  U8: 14 01  |..|
   101   2.9323   0  []  L1: 00  U8: 00  ||
   102   2.9675   2  [20 1]  L1: 14 01  U8: 14 01  |..|
   103   3.0029   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
   104   3.0109   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
   105   3.0468   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
   106   3.0523   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
   107   3.0579   2  [20 1]  L1: 14 01  U8: 14 01  |..|
   108   3.0631   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
   109   3.0886   0  []  L1: 00  U8: 00  ||
   110   3.0946   2  [20 1]  L1: 14 01  U8: 14 01  |..|
   111   3.1419   2  [20 1]  L1: 14 01  U8: 14 01  |..|
   112   3.1467   2  [32 1]  L1: 20 01  U8: 20 01  | .|
   113   3.1580   2  [19 2]  L1: 13 02  U8: 13 02  |..|
   114   3.1812   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
   115   3.2104   0  []  L1: 00  U8: 00  ||
   116   3.2160   0  []  L1: 00  U8: 00  ||
   117   3.2360   2  [20 1]  L1: 14 01  U8: 14 01  |..|
   118   3.2551   2  [20 1]  L1: 14 01  U8: 14 01  |..|
   119   3.2604   2  [3 1]  L1: 03 01  U8: 03 01  |..|
   120   3.2877   2  [83 2]  L1: 53 02  U8: 53 02  |S.|
   121   3.2926   2  [99 2]  L1: 63 02  U8: 63 02  |c.|
   122   3.3143   2  [99 2]  L1: 63 02  U8: 63 02  |c.|
   123   3.3420   2  [77 2]  L1: 4D 02  U8: 4D 02  |M.|
   124   3.3651   2  [64 2]  L1: 40 02  U8: 40 02  |@.|
   125   3.3814   2  [36 1]  L1: 24 01  U8: 24 01  |$.|
   126   3.4094   2  [36 1]  L1: 24 01  U8: 24 01  |$.|
   127   3.4147   2  [80 2]  L1: 50 02  U8: 50 02  |P.|
   128   3.4392   2  [36 1]  L1: 24 01  U8: 24 01  |$.|
   129   3.4865   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
   130   3.4919   2  [36 1]  L1: 24 01  U8: 24 01  |$.|
   131   3.5365   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
   132   3.5403   2  [36 1]  L1: 24 01  U8: 24 01  |$.|
   133   3.5652   2  [36 1]  L1: 24 01  U8: 24 01  |$.|
   134   3.5879   2  [20 1]  L1: 14 01  U8: 14 01  |..|
   135   3.5915   2  [34 5]  L1: 22 05  U8: 22 05  |".|
   136   3.5953   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
   137   3.6243   2  [36 1]  L1: 24 01  U8: 24 01  |$.|
   138   3.6597   2  [20 2]  L1: 14 02  U8: 14 02  |..|
   139   3.6746   2  [1 2]  L1: 01 02  U8: 01 02  |..|
   140   3.6943   2  [35 1]  L1: 23 01  U8: 23 01  |#.|
   141   3.7038   0  []  L1: 00  U8: 00  ||
   142   3.7268   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
   143   3.7300   2  [20 2]  L1: 14 02  U8: 14 02  |..|
   144   3.7335   2  [1 2]  L1: 01 02  U8: 01 02  |..|
   145   3.7672   2  [35 1]  L1: 23 01  U8: 23 01  |#.|
   146   3.7711   2  [35 1]  L1: 23 01  U8: 23 01  |#.|
   147   3.8126   2  [35 1]  L1: 23 01  U8: 23 01  |#.|
   148   3.8321   2  [20 2]  L1: 14 02  U8: 14 02  |..|
   149   3.8593   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
   150   3.9778   2  [65533 1]  L1: FF 01  U8: EF BF BD 01  |..|
   151   3.9810   0  []  L1: 00  U8: 00  ||
   152   3.9840   0  []  L1: 00  U8: 00  ||
   153   3.9873   0  []  L1: 00  U8: 00  ||
   154   3.9904   2  [65533 2]  L1: FF 02  U8: EF BF BD 02  |..|
   155   4.0265   2  [78 2]  L1: 4E 02  U8: 4E 02  |N.|
   156   4.0298   0  []  L1: 00  U8: 00  ||
   157   4.0407   2  [35 1]  L1: 23 01  U8: 23 01  |#.|
   158   4.0567   2  [24 1]  L1: 18 01  U8: 18 01  |..|
   159   4.0598   2  [25 1]  L1: 19 01  U8: 19 01  |..|
   160   4.0634   0  []  L1: 00  U8: 00  ||
   161   4.1165   0  []  L1: 00  U8: 00  ||
   162   4.1374   2  [35 1]  L1: 23 01  U8: 23 01  |#.|
   163   4.1543   2  [25 1]  L1: 19 01  U8: 19 01  |..|
